# Hosts where Web Data Commons saw one employer's vacancies (Common Crawl 2024-12) that the
# lists do not name. Written by builder/tools/domains-wdc.mjs; read by the hunter, which decides
# by reading the site. domain, employer
jobs.nextfrontiercapital.com, Aumni
careers.mccain.com, '
careers.dhl.com, DPDHL
careers.wct-fct.com, Amazon
jobsearch.baesystems.com, BAE Systems
acetechnologies.com, Ace Technologies
careers.allianz.com, AZGROUPPROD
careers.bcg.com, Boston Consulting Group
atp.catsone.com, Avid Technology Professionals
redglobal.de, RED Global
careers.zimmerbiomet.com, Merck KGaA Darmstadt Germany
datafriend.in, Upwork
redglobal.com, RED Global
jobs.jnj.com, Johnson & Johnson
careers.race.capital, Databricks
careers.primetals.com, Perimetals Technologies
employment.pro, Confidential
nisha.co.il, קבוצת נישה
cgmconsulting.it, CGM Consulting S.r.l.
jobs.logoslabs.com, Remote
cvbay.com, CV Bay
careers.emdgroup.com, Merck KGaA Darmstadt Germany
weare5vtech.com, 5Values
ep-group.de, engineering people GmbH
frgconsulting.com, FRG Technology Consulting
techadapt.jp, 社名非公開
mcsgroup.jobs, MCS
mnrsolutions.in, MNR Solutions Pvt. Ltd.
tpsmithgroup.com, TPS
ep-group.com, engineering people GmbH
opportunities.urban-x.com, Evolve Energy
experis.co.uk, Undisclosed Company
careers.scg.com, The Siam Cement Public Company Limited
careers.wbd.com, WARNERMEDIA
psrsolutions.co.uk, PSR Solutions
cybsearch.com, CyberSearch
careers.entradaventures.com, d-Matrix
compassionatehcmn.com, Google
newresource-group.com, CV-Library
cbisearch.com, CBI Group Inc.
careers.aam.com, American Axle & Manufacturing
finestpeople.com, Not disclosed
conexion-hr.com, Active searches
jobs.diyguru.org, support
db.jobs, Deutsche Bahn AG
careers.wexinc.com, WEXWEXUS
kalatechs.com, Confidential
aexp.eightfold.ai, American Express
matrashabd.com, Menvos HR Consulting
f-i.de, Finanz Informatik GmbH & Co. KG
services.strgroup.co.uk, STR Group Services
hendersonscott.co.uk, Search
careers.sbmoffshore.com, singlebuoy
careers.ross-eng.com, RSE
afuturewithus.com, Al Futtaim Private Company LLC
careers-i3-corps.icims.com, UNAVAILABLE
careers.stengg.com, ST Engineering Group
careers.sf.gov, City and County of San Francisco
clicandpower.fr, APAVE
star-ref.co.uk, Google
freeconsultant.jp, 株式会社みらいワークス
werkenindetechniek.nl, Diff
jobs.hbl.ch, Hypothekarbank Lenzburg AG
jobs.lr.org, Lloyds Register
srexpertservices.co.in, NA
sib.mr, mhdouhenoune17
tuyendungtti.com, Techtronic Industries Vietnam Manufacturing Company Limited
emp-sol.com, Employment Solutions
b-a-r.com, BAR
careers-ddn.icims.com, Data Direct Networks
919vn.com, Quick Vietnam Co. Ltd.
jobs.hydro.com, norskhydro
jobs.concentrix.com, Webhelp
pg-rec.com, Premier Group
baesystems.veteran-hiring.com, BAE Systems
onefederalsolution.com, OFS
nationaltradesmen.co.uk, CV-Library
zwolleheeftwerk.nl, Vertrouwelijk
careers.vectrus.com, V2X
careers.eon.com, E.ON
deleukstekantoorbaan.nl, Kantoorbanen
joinitq.eu, ITQ Consultancy
